label,linewidth,density,lineheight,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C99
0KDMANEL,0.125,0.30784,0.27747,0.463399,0.521779,0.681493,0.811937,0.692098,0.645948,0.537852,0.734557,0.692154,0.442185,0.635647,0.651364,0.408842,0.512366,0.716387,0.466706
0KDMANEL,0.3175,0.35969,0.55165,0.638458,0.57808,0.795467,0.798296,0.83443,0.842512,0.680726,0.79249,0.845486,0.473423,0.575528,0.724854,0.606838,0.548228,0.679869,0.540371
0KDMANEL,0.13889,0.32735,0.35198,0.538734,0.610886,0.728436,0.778484,0.859454,0.834551,0.650258,0.852863,0.762166,0.484499,0.612525,0.563865,0.45561,0.492936,0.700938,0.485823
0KDMANEL,0.19464,0.31932,0.34316,0.648329,0.494699,0.7204,0.84199,0.789244,0.81354,0.692094,0.77219,0.834937,0.584854,0.546279,0.65437,0.638548,0.509314,0.762066,0.592288
0KDMANEL,0.17778,0.32461,0.21763,0.628656,0.596123,0.761542,0.828625,0.858084,0.878576,0.722346,0.840838,0.867253,0.489797,0.565343,0.860554,0.61793,0.548228,0.698244,0.602123
0KDMANEL,0.25556,0.28385,0.18793,0.51138,0.562902,0.691095,0.84449,0.798524,0.856129,0.768295,0.775425,0.714853,0.4944,0.542446,0.732048,0.573066,0.548228,0.690987,0.605464
0KDMANEL,0.23333,0.30638,0.5989,0.478148,0.486488,0.597205,0.77188,0.700169,0.778641,0.767554,0.611727,0.703962,0.517329,0.559559,0.768033,0.470813,0.530557,0.578771,0.682717
0KDMANEL,0.11667,0.40321,0.40854,0.574996,0.555025,0.802418,0.822463,0.826604,0.725635,0.61145,0.793719,0.796421,0.432834,0.635647,0.783658,0.546606,0.548228,0.796453,0.530074
0KDMANEL,0.20227,0.33074,0.18708,0.613319,0.596123,0.777711,0.798296,0.595893,0.863472,0.582157,0.835061,0.828805,0.512814,0.627292,0.539294,0.538138,0.470171,0.707448,0.519971
0KDMANEL,0.12188,0.34279,0.29609,0.643442,0.57808,0.802418,0.790661,0.780656,0.884797,0.61145,0.791108,0.839152,0.536101,0.518318,0.479132,0.606838,0.537282,0.718092,0.569767
0KDMANEL,0.11042,0.36669,0.28175,0.638458,0.57808,0.777913,0.672017,0.759074,0.671083,0.507605,0.662336,0.775841,0.539164,0.56604,0.639999,0.498246,0.529203,0.666012,0.517288
0KDMANEL,0.20313,0.39024,0.34202,0.543266,0.470515,0.674497,0.8047,0.628775,0.780206,0.686707,0.598451,0.68313,0.606055,0.466477,0.67109,0.538125,0.514375,0.597614,0.511044
0KDMANEL,0.12812,0.33916,0.26871,0.588651,0.53211,0.70448,0.859629,0.745827,0.589743,0.579452,0.85664,0.800641,0.53064,0.553699,0.678168,0.523747,0.57004,0.698928,0.523065
0KDMANEL,0.145,0.38678,0.3396,0.550424,0.596123,0.791677,0.761724,0.649251,0.843368,0.531086,0.612539,0.688184,0.512814,0.657327,0.655232,0.573293,0.492936,0.676261,0.492264
0KDMANEL,0.1375,0.29757,0.39465,0.480791,0.546518,0.589463,0.684702,0.711595,0.624676,0.562196,0.695163,0.611421,0.494981,0.567266,0.681481,0.541231,0.5332,0.637114,0.476335
0KDMANEL,0.325,0.39224,0.60377,0.569523,0.470515,0.68201,0.776794,0.696325,0.838909,0.623718,0.840838,0.806867,0.469805,0.645677,0.614707,0.481224,0.514419,0.728869,0.698658
0KDMANEL,0.13269,0.33429,0.31569,0.521617,0.596123,0.71974,0.78396,0.773806,0.78773,0.616902,0.850925,0.783446,0.497002,0.597678,0.594038,0.461872,0.492936,0.771744,0.513562
0KDMANEL,0.15,0.39341,0.43205,0.652973,0.610886,0.754912,0.775404,0.630041,0.772877,0.566482,0.628635,0.904457,0.477709,0.587923,0.594841,0.635038,0.497992,0.694965,0.528686
0KDMANEL,0.11667,0.40321,0.40854,0.574996,0.555025,0.802418,0.822463,0.826604,0.725635,0.61145,0.793719,0.796421,0.432834,0.635647,0.783658,0.546606,0.548228,0.796453,0.530074
0KDMANEL,0.34286,0.44176,0.69097,0.603881,0.596123,0.757178,0.834209,0.673044,0.873964,0.705955,0.817472,0.775795,0.486574,0.547937,0.510286,0.515416,0.472789,0.676261,0.5243
0KDMANEL,0.15909,0.25108,0.38476,0.588269,0.596123,0.678278,0.76216,0.848606,0.866325,0.62589,0.837626,0.851126,0.563485,0.52833,0.591124,0.462238,0.529857,0.718906,0.591202
0KDMANEL,0.125,0.27825,0.2963,0.620168,0.596123,0.827647,0.768768,0.761161,0.85862,0.560966,0.884308,0.824973,0.534252,0.62756,0.696492,0.611577,0.512366,0.709188,0.577703
0KDMANEL,0.33125,0.38578,0.58478,0.483985,0.579653,0.678278,0.742489,0.848606,0.75303,0.62589,0.837626,0.75968,0.477382,0.605078,0.688616,0.462238,0.512366,0.673633,0.48794
0KDMANEL,0.23333,0.34921,0.625,0.569523,0.470515,0.68201,0.682714,0.658999,0.737126,0.623718,0.822456,0.806867,0.453853,0.553069,0.531169,0.463961,0.514419,0.636283,0.698658
0KDMANEL,0.16094,0.28832,0.23305,0.611849,0.507398,0.75385,0.857705,0.796443,0.83094,0.627552,0.779321,0.851395,0.582294,0.54299,0.753465,0.54749,0.51366,0.767193,0.62147
0KDMANEL,0.11364,0.34503,0.26827,0.60252,0.596123,0.692029,0.824073,0.523079,0.686878,0.544428,0.84992,0.823886,0.503405,0.559647,0.558837,0.549708,0.507935,0.681747,0.549204
