label,linewidth,density,lineheight,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
0KDBOLIDDA,0.1,0.36572,0.39161,0.691188,0.544185,0.538561,0.640621,0.739463,0.451376,0.522002,0.66241,0.574672,0.627083,0.534803,0.458286,0.559309,0.718906
0KDBOLIDDA,0.10357,0.4478,0.49359,0.682699,0.466154,0.450615,0.588929,0.474213,0.476805,0.367912,0.505452,0.502941,0.453557,0.508247,0.471586,0.439117,0.589156
0KDBOLIDDA,0.11333,0.45064,0.41282,0.971781,0.440862,0.726762,0.597766,0.599893,0.707961,0.517208,0.482901,0.567921,0.627083,0.614436,0.511459,0.457929,0.676261
0KDBOLIDDA,0.10536,0.48239,0.39286,1,0.538114,0.465847,0.596838,0.547676,0.48073,0.451684,0.549868,0.567921,0.529601,0.625253,0.508145,0.544111,0.607138
0KDBOLIDDA,0.097917,0.4906,0.4,0.82274,0.53211,0.540963,0.634374,0.749969,0.443786,0.411814,0.704564,0.522311,0.474385,0.603747,0.412638,0.567685,0.733261
0KDBOLIDDA,0.13333,0.51795,0.52308,0.751332,0.481329,0.47004,0.548111,0.554412,0.505451,0.483088,0.455477,0.581375,0.565216,0.644633,0.45486,0.449891,0.67402
0KDBOLIDDA,0.1,0.44562,0.46746,0.957841,0.424789,0.466936,0.607152,0.604948,0.389572,0.404286,0.572148,0.569339,0.407945,0.619671,0.42405,0.439117,0.601642
0KDBOLIDDA,0.10385,0.47477,0.43077,0.861248,0.667794,0.504785,0.548111,0.698815,0.553526,0.514275,0.642279,0.528022,0.465249,0.70061,0.481595,0.512704,0.681747
0KDBOLIDDA,0.1,0.44562,0.46746,0.957841,0.424789,0.466936,0.607152,0.604948,0.389572,0.404286,0.572148,0.569339,0.407945,0.619671,0.42405,0.439117,0.601642
0KDBOLIDDA,0.10227,0.44017,0.41538,0.887758,0.654685,0.544158,0.678335,0.718874,0.491932,0.519779,0.692182,0.517781,0.51886,0.705108,0.487517,0.512704,0.697929
0KDBOLIDDA,0.097222,0.47715,0.34615,0.736068,0.434267,0.48107,0.640659,0.698387,0.425515,0.440211,0.586152,0.57386,0.479465,0.541966,0.362479,0.496346,0.67047
0KDBOLIDDA,0.1,0.44163,0.51099,0.754252,0.54275,0.538561,0.646877,0.737294,0.467601,0.532113,0.694777,0.546113,0.627083,0.678408,0.435997,0.574978,0.745483
0KDBOLIDDA,0.12273,0.45852,0.375,0.705797,0.525717,0.726372,0.574159,0.543654,0.679106,0.504382,0.528563,0.505201,0.594269,0.685238,0.528863,0.464363,0.583669
0KDBOLIDDA,0.1,0.49519,0.52747,0.873326,0.492521,0.438406,0.56349,0.558768,0.481484,0.383114,0.475261,0.556524,0.570834,0.678408,0.447274,0.415333,0.602166
0KDBOLIDDA,0.13125,0.46048,0.47009,0.90115,0.478589,0.424735,0.512812,0.588233,0.45298,0.383522,0.500562,0.551801,0.600055,0.704986,0.442748,0.423211,0.61862
