label,linewidth,density,lineheight,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
0KDBOLIDDA,0.10307,0.39015,0.45227,0.652605,0.452267,0.450479,0.728001,0.558037,0.545136,0.617640,0.772311,0.549201,0.659842
0KDBOLIDDA,0.099624,0.47599,0.65625,0.565339,0.400057,0.501430,0.563354,0.551204,0.480517,0.542605,0.802467,0.482279,0.664097
0KDBOLIDDA,0.10526,0.47896,0.54836,0.688424,0.442199,0.571693,0.575450,0.543203,0.537590,0.647637,0.817885,0.543796,0.677701
0KDBOLIDDA,0.10338,0.51248,0.51212,0.688424,0.452267,0.553813,0.606886,0.566974,0.538991,0.647637,0.810146,0.549201,0.703914
0KDBOLIDDA,0.098684,0.5218,0.46921,0.635414,0.457361,0.444114,0.728001,0.510106,0.538991,0.601510,0.828347,0.543425,0.703914
0KDBOLIDDA,0.10646,0.5513,0.58665,0.580456,0.447214,0.380905,0.549851,0.592085,0.538991,0.603134,0.817885,0.543895,0.703914
0KDBOLIDDA,0.10197,0.47066,0.53091,0.684958,0.440733,0.453161,0.586126,0.552503,0.479972,0.645063,0.656906,0.549201,0.598139
0KDBOLIDDA,0.10121,0.51104,0.52083,0.955564,0.457361,0.478417,0.712956,0.524959,0.516019,0.691555,0.817885,0.560144,0.677701
0KDBOLIDDA,0.10197,0.47066,0.53091,0.684958,0.440733,0.453161,0.586126,0.552503,0.479972,0.645063,0.656906,0.549201,0.598139
0KDBOLIDDA,0.10407,0.47554,0.6526,1.000000,0.456633,0.487099,0.728001,0.519618,0.516019,0.687552,0.817885,0.554650,0.677701
0KDBOLIDDA,0.10088,0.52498,0.49832,0.557566,0.437223,0.432283,0.713149,0.586697,0.508077,0.568419,0.817885,0.554650,0.677701
0KDBOLIDDA,0.096681,0.46452,0.68485,0.689243,0.456633,0.473403,0.728001,0.471040,0.538991,0.591032,0.810146,0.554650,0.703914
0KDBOLIDDA,0.10065,0.47277,0.50974,0.661043,0.456633,0.571693,0.543322,0.492772,0.537590,0.583357,0.750842,0.554650,0.624934
0KDBOLIDDA,0.098701,0.52236,0.61189,0.698609,0.456633,0.501430,0.659071,0.543203,0.494656,0.647637,0.730494,0.554650,0.668108
0KDBOLIDDA,0.098701,0.48701,0.5767,0.698609,0.456633,0.501430,0.659071,0.543203,0.494656,0.647637,0.730494,0.554650,0.668108
0KDBOLIDDA,0.1013,0.47711,0.55769,1.000000,0.452267,0.487099,0.659450,0.543203,0.479972,0.687552,0.645639,0.554650,0.605050
0KDBOLIDDA,0.096903,0.60597,0.63287,0.641960,0.451288,0.473403,0.506130,0.530178,0.538991,0.526894,0.810146,0.543895,0.703914
0KDBOLIDDA,0.096681,0.53235,0.47443,0.698609,0.456633,0.478417,0.728001,0.448155,0.494656,0.601510,0.683349,0.554650,0.659842
0KDBOLIDDA,0.096377,0.53423,0.49076,0.672840,0.456633,0.473403,0.724971,0.551000,0.508077,0.613779,0.683349,0.554650,0.668108
0KDBOLIDDA,0.10173,0.49659,0.55682,0.666557,0.476218,0.593738,0.452537,0.563568,0.524382,0.622957,0.802467,0.543796,0.730297
0KDBOLIDDA,0.11905,0.4541,0.40909,0.603985,0.462497,0.480413,0.681808,0.510707,0.474670,0.605080,0.650286,0.571275,0.605050
