Font,min10,max10,min20,max20,min30,max30,min40,max40,min50,max50
4u-Amantha,32.30878,34.61383,32.59085,35.10002,33.65384,34.38881,32.787515,34.5485375,32.928016,34.64854
DS-bursh,21.32952,23.85896,21.88918,23.69388,21.3468266667,23.6103933333,21.670495,24.17996,22.168958,24.007054
4u-Arjun,17.75639,19.57166,18.12286,19.670905,18.5487733333,19.5337733333,17.7794325,19.3010625,18.707626,19.168138
DL-kotu,32.97953,36.36343,33.667795,36.09461,33.7049733333,36.08733,33.8131175,35.8604575,33.4702,34.898182
CPS 42,15.988759,21.02893,18.989685,20.35883,18.4878133333,21.00811,18.22391725,20.6662375,18.5157098,19.68774
0KDSAMAN,27.50588,33.56936,27.200225,28.59927,27.47379,30.07495,26.9015275,28.745105,27.258494,29.55756
0KDNAMAL,30.15735,34.71378,31.392225,33.42946,31.5366966667,32.9818533333,31.36686,33.004815,31.25712,33.038956
4u-Ajantha,38.48797,40.21268,38.433905,40.181705,38.16033,39.6988966667,38.01912,39.7772525,39.069544,39.79668
0KDBOLIDDA,29.19424,32.15843,29.809465,31.400235,30.0825033333,31.2765733333,29.601755,31.449075,29.314084,31.445964
Br-Hansika,22.84786,24.20382,22.438955,23.75692,22.9562433333,23.84553,22.87047,24.2113825,23.20916,24.284006
Dharmavathy,18.87938,21.36264,19.74913,20.74492,20.0037566667,21.1619333333,19.7814925,20.55408,19.546026,20.591662
0KDMANEL,22.85285,26.56147,23.499335,24.74391,23.5219266667,24.77869,23.19674,24.6967275,23.777294,24.475976
4u-Derana,20.88143,22.68173,20.820865,23.16338,21.5689333333,22.7596366667,21.419565,22.1727575,21.673424,22.453216
CPS 149,18.58256,20.75105,17.721885,22.8986,19.33453,21.7483633333,19.2984825,22.0183075,18.93276,20.518054
CPS 142,27.7953,31.25427,28.483505,30.81922,28.22363,30.21592,28.306455,29.91319,29.377762,30.991086
CPS 144,28.52354,31.27129,28.788555,31.011245,28.8880333333,30.4733133333,28.851135,30.386015,29.322792,30.864908
4u-Emanee,29.81557,33.33223,30.74793,33.831365,31.68851,32.7915,31.483425,32.8627925,31.25314,32.96085
4u-Araliya. Warp,30.82252,33.29044,31.920685,33.68745,31.9274766667,33.2452733333,31.4803275,33.2964475,32.288168,33.03631
amsSupun,22.93799,25.7507,22.725325,24.029475,23.6869466667,25.43103,23.92421,25.2536475,23.757082,25.127598
4u-Asiri,39.63357,44.31211,40.63981,42.68937,40.7849366667,43.4181033333,41.1677625,43.50732,42.179134,43.456086
amsPanhinda,11.27871,15.24963,12.34293,13.79837,12.0308733333,14.37229,12.5286725,14.5372375,12.68632,13.746132
4u-Ananda,36.1722,39.88386,37.833215,39.428675,38.0735366667,39.4932566667,37.8765225,39.75479,37.512542,39.350988
4u-Gemunu,41.92135,46.62423,44.84069,47.881495,44.99431,47.1002633333,45.531255,46.94323,45.84713,47.149648
DS-DAYA-D,20.01592,21.44348,19.847845,21.11412,19.7008666667,21.0687233333,20.21665,21.065215,20.044658,21.056204
A araliya,36.80967,39.23874,37.291975,38.563435,36.8006666667,39.3897466667,37.3504175,38.5672225,36.94536,38.38677
4u-Sawana,20.78564,22.7015,20.648805,22.05896,20.8399166667,21.7603233333,20.926105,22.4380025,21.083342,21.82909
4u-Anurada,17.7669,18.44015,17.8571,20.789365,17.9634633333,18.9147733333,18.304855,19.6227,18.008476,18.858736
A Manel X,15.91066,17.12008,15.91168,17.4785,15.8201566667,17.2522233333,16.1718925,16.99864,16.383518,16.786768
Wijeya,8.37325,9.30224,8.58938,11.289145,8.21747333333,9.36176666667,8.2066575,9.442955,8.485986,9.689508
SARA-JANAKEE-NEW,16.34359,20.9217,16.883015,19.476165,16.7216266667,18.2835966667,16.68483,18.404145,16.996122,19.276506
