label,linewidth,density,lineheight,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C99
0KDMANEL,0.125,0.30784,0.27747,0.463399,0.413018,0.431490,0.392677,0.568760,0.757991,0.454368,0.842431,0.418954,0.561713,0.513174,0.608021,0.560612,0.522607,0.731672,0.466706
0KDMANEL,0.3175,0.35969,0.55165,0.638458,0.478992,0.602143,0.420230,0.579582,0.822070,0.659389,0.864134,0.520555,0.684547,0.491955,0.597241,0.716247,0.611753,0.712301,0.540371
0KDMANEL,0.13889,0.32735,0.35198,0.538734,0.487413,0.496682,0.400847,0.487817,0.676858,0.526193,0.905704,0.513700,0.601112,0.490653,0.590593,0.665750,0.552887,0.721292,0.485823
0KDMANEL,0.19464,0.31932,0.34316,0.648329,0.465237,0.622890,0.473343,0.673793,0.773877,0.641796,0.798044,0.548796,0.701348,0.577938,0.582835,0.786796,0.572759,0.779798,0.592288
0KDMANEL,0.17778,0.32461,0.21763,0.628656,0.488921,0.512592,0.464415,0.671709,0.846516,0.706548,0.887565,0.529348,0.714521,0.520735,0.597838,0.717049,0.596137,0.730178,0.602123
0KDMANEL,0.25556,0.28385,0.18793,0.511380,0.495594,0.614741,0.464942,0.675207,0.796291,0.648559,0.810684,0.495034,0.774568,0.530033,0.582514,0.738985,0.579511,0.786991,0.605464
0KDMANEL,0.23333,0.30638,0.5989,0.478148,0.467694,0.520571,0.478683,0.654313,0.807106,0.558234,0.600969,0.517303,0.776851,0.523095,0.686765,0.807258,0.609409,0.677614,0.682717
0KDMANEL,0.11667,0.40321,0.40854,0.574996,0.485866,0.454961,0.351369,0.548751,0.652030,0.609049,0.809370,0.485551,0.597660,0.526398,0.623306,0.686984,0.553261,0.657463,0.530074
0KDMANEL,0.20227,0.33074,0.18708,0.613319,0.478992,0.533822,0.411199,0.541924,0.699260,0.716905,0.968598,0.501772,0.604372,0.445996,0.619111,0.731326,0.587850,0.703526,0.519971
0KDMANEL,0.12188,0.34279,0.29609,0.643442,0.601362,0.619225,0.377169,0.588885,0.694716,0.705902,0.864612,0.568828,0.668962,0.461239,0.542818,0.773071,0.577991,0.753434,0.569767
0KDMANEL,0.11042,0.36669,0.28175,0.638458,0.449477,0.499198,0.365170,0.496432,0.644398,0.569115,0.607955,0.535702,0.551223,0.427176,0.636865,0.621734,0.553658,0.500835,0.517288
0KDMANEL,0.20313,0.39024,0.34202,0.543266,0.467045,0.503344,0.478683,0.654313,0.679949,0.679304,0.623370,0.529348,0.650299,0.584981,0.617876,0.746729,0.549127,0.724314,0.511044
0KDMANEL,0.12812,0.33916,0.26871,0.588651,0.575807,0.514315,0.403098,0.530590,0.692408,0.521738,0.723982,0.501456,0.560534,0.440035,0.644861,0.592220,0.582943,0.772388,0.523065
0KDMANEL,0.145,0.38678,0.3396,0.550424,0.527975,0.605591,0.429367,0.566906,0.664454,0.682288,0.638369,0.516998,0.597758,0.475145,0.551684,0.746729,0.539668,0.737512,0.492264
0KDMANEL,0.1375,0.29757,0.39465,0.480791,0.445300,0.484603,0.396321,0.492130,0.578776,0.498483,0.676974,0.485505,0.628916,0.505196,0.621402,0.716247,0.599799,0.549269,0.476335
0KDMANEL,0.325,0.39224,0.60377,0.569523,0.472975,0.546421,0.408985,0.487878,0.728409,0.490414,0.840653,0.413904,0.638988,0.469458,0.552922,0.686886,0.597124,0.653321,0.698658
0KDMANEL,0.13269,0.33429,0.31569,0.521617,0.495582,0.489792,0.422403,0.546370,0.736408,0.503017,0.770167,0.487271,0.564257,0.477028,0.605257,0.645066,0.523934,0.733703,0.513562
0KDMANEL,0.15,0.39341,0.43205,0.652973,0.468648,0.479802,0.391701,0.436605,0.729230,0.623462,0.619796,0.519720,0.600504,0.531255,0.622973,0.738985,0.608283,0.603414,0.528686
0KDMANEL,0.11667,0.40321,0.40854,0.574996,0.485866,0.454961,0.351369,0.548751,0.652030,0.609049,0.809370,0.485551,0.597660,0.526398,0.623306,0.686984,0.553261,0.657463,0.530074
0KDMANEL,0.34286,0.44176,0.69097,0.603881,0.488921,0.604244,0.409897,0.645168,0.670609,0.748538,0.862902,0.491239,0.635651,0.523564,0.622915,0.716247,0.562980,0.794987,0.524300
0KDMANEL,0.15909,0.25108,0.38476,0.588269,0.488921,0.475266,0.433858,0.657574,0.822070,0.550152,0.938264,0.501538,0.644480,0.519114,0.556752,0.698763,0.664855,0.713742,0.591202
0KDMANEL,0.125,0.27825,0.2963,0.620168,0.607459,0.549748,0.424591,0.534091,0.683977,0.590652,0.913656,0.616064,0.605056,0.435807,0.573042,0.732231,0.563647,0.706093,0.577703
0KDMANEL,0.33125,0.38578,0.58478,0.483985,0.453728,0.464148,0.418308,0.650550,0.807250,0.565830,0.809656,0.437837,0.644480,0.486040,0.571699,0.723716,0.532764,0.707838,0.487940
0KDMANEL,0.23333,0.34921,0.625,0.569523,0.472975,0.447764,0.384828,0.385988,0.687050,0.461455,0.777177,0.424844,0.638988,0.440471,0.548811,0.665750,0.597124,0.582202,0.698658
0KDMANEL,0.16094,0.28832,0.23305,0.611849,0.493084,0.631760,0.464942,0.665172,0.779815,0.623071,0.808097,0.486712,0.681270,0.571265,0.614289,0.723747,0.623147,0.796111,0.621470
0KDMANEL,0.11364,0.34503,0.26827,0.602520,0.488921,0.525162,0.375370,0.529082,0.696965,0.591128,0.589780,0.513178,0.538929,0.473504,0.611522,0.585820,0.610237,0.752602,0.549204
0KDMANEL,0.13889,0.32735,0.35198,0.538734,0.487413,0.496682,0.400847,0.487817,0.676858,0.526193,0.905704,0.513700,0.601112,0.490653,0.590593,0.665750,0.552887,0.721292,0.485823
0KDMANEL,0.30962,0.39444,0.608,0.625638,0.462889,0.475137,0.417860,0.657574,0.720288,0.654377,0.839455,0.495246,0.679706,0.489786,0.563660,0.686984,0.588572,0.712251,0.698658
0KDMANEL,0.14583,0.28984,0.2375,0.627028,0.600662,0.512120,0.381045,0.498208,0.679543,0.565356,0.734873,0.587057,0.582638,0.401608,0.585082,0.737353,0.552201,0.614183,0.518920
0KDMANEL,0.27083,0.40121,0.64541,0.613316,0.488921,0.459564,0.409658,0.657574,0.695773,0.659389,0.925305,0.495708,0.701546,0.526123,0.582866,0.672765,0.580227,0.713742,0.530074
0KDMANEL,0.2625,0.38758,0.65504,0.558822,0.488921,0.632174,0.415511,0.634382,0.772561,0.765437,0.888567,0.484709,0.708018,0.530958,0.615570,0.716247,0.551862,0.754902,0.596679
0KDMANEL,0.15227,0.33245,0.24583,0.639940,0.462889,0.525685,0.411878,0.672047,0.731450,0.611313,0.790810,0.509303,0.652144,0.551947,0.635771,0.723747,0.567535,0.788378,0.591943
0KDMANEL,0.12083,0.26601,0.31378,0.474613,0.488921,0.508583,0.393205,0.537649,0.669772,0.465610,0.854083,0.443265,0.564257,0.466392,0.628513,0.573141,0.565286,0.722142,0.568724
0KDMANEL,0.13214,0.31515,0.29266,0.562671,0.454768,0.495729,0.425954,0.530590,0.736408,0.519296,0.731266,0.488282,0.567772,0.433072,0.621402,0.611678,0.545812,0.792644,0.495123
0KDMANEL,0.30625,0.34163,0.58427,0.539229,0.488921,0.482158,0.437335,0.541214,0.720288,0.665947,0.912796,0.469427,0.679706,0.478501,0.572442,0.686984,0.544589,0.714114,0.693669
0KDMANEL,0.12625,0.30127,0.25849,0.613319,0.488921,0.499945,0.442755,0.508547,0.764923,0.620666,0.835192,0.498418,0.591861,0.401608,0.593633,0.624881,0.607197,0.636984,0.600250
0KDMANEL,0.1625,0.22462,0.38942,0.478148,0.467694,0.522532,0.401858,0.486584,0.818702,0.563772,0.603612,0.523003,0.772988,0.521693,0.683449,0.807258,0.609409,0.636580,0.685225
0KDMANEL,0.15,0.39518,0.17055,0.555314,0.488921,0.428023,0.455446,0.526541,0.660857,0.620412,0.853133,0.439374,0.657373,0.490376,0.601322,0.651903,0.530379,0.666865,0.602123
0KDMANEL,0.13571,0.29547,0.30134,0.645470,0.501592,0.476570,0.430869,0.507326,0.684001,0.505275,0.905704,0.479905,0.607386,0.513174,0.559900,0.650774,0.540436,0.713197,0.556297
0KDMANEL,0.11447,0.29318,0.24825,0.582416,0.541431,0.538878,0.447582,0.514667,0.722559,0.581674,0.779589,0.513879,0.558147,0.456594,0.651737,0.605147,0.590358,0.632456,0.561882
0KDMANEL,0.11042,0.36669,0.28175,0.638458,0.449477,0.499198,0.365170,0.496432,0.644398,0.569115,0.607955,0.535702,0.551223,0.427176,0.636865,0.621734,0.553658,0.500835,0.517288
0KDMANEL,0.20313,0.39024,0.34202,0.543266,0.467045,0.503344,0.478683,0.654313,0.679949,0.679304,0.623370,0.529348,0.650299,0.584981,0.617876,0.746729,0.549127,0.724314,0.511044
